Gene	Day0_1	Day0_2	Pre-treat_1	Pre-treat_2	Pre-treat_3	Pre-treat_4	Doxy_1	Doxy_2	Doxy_3	Doxy_4	Nodrug_1	Nodrug_2	Nodrug_3	INH_1	INH_2	INH_3	INH_4	RIF_1	RIF_2	RIF_3	RIF_4	PZA_1	PZA_2	HRZE_1	HRZE_2	HRZE_3	HRZE_4
Rv0809.purM	1		6	9	8	5	60	20	7	5	19	18	10	2	3	4		8	3	5	12	5	1	2	2	1	59
Rv0811c.Rv0811	8008	415	9799	10102	11395	9928	2054	1260	4236	4448	6925	4417	5082	6212	5559	6576	3122	8775	6401	8934	10351	20965	7907	2566	8801	5758	4778
Rv0817c.Rv0817c	19011	1535	3914	5401	5879	3392	636	724	920	1498	304	254	1967	3239	6668	3256	3683	2525	2309	1335	1448	1617	19	2887	3922	2950	1885
Rv0824c.desA1	20968	535	27202	28553	26095	31442	20170	21892	28464	25663	20334	15435	13114	17263	23472	17857	17718	29196	26796	25185	27166	76929	42480	25707	39848	22296	31459
Rv0884c.serC	1	2					3	6			4		2		2						4	1					4
Rv0902c.prrB	867	34	247	454	272	346	1632	2836	2756	2844	5686	5185	3410	3981	4318	3424	3810	7402	7551	9712	8150	2672	5412	29	70	31	714
Rv0913c.Rv0913c	7063	442	9489	8787	9740	9734	2826	2980	5322	8471	4790	4160	5110	8318	8292	6277	4096	6858	8262	7600	9087	11194	15745	8037	15661	9545	7208
Rv0938.ligD	4821	269	7703	7832	7025	7716	2139	2350	4405	5830	2582	3513	4188	5633	6502	5503	4418	6836	7774	7957	8318	12226	6432	7214	7087	9111	7928
Rv0949.UvrD1	10986	779	9314	10583	10998	10639	3617	9752	5799	6280	2528	2087	5512	4178	8246	3953	2535	10367	7025	6253	7391	6539	2719	1520	2248	2358	1969
Rv0951.sucC	110	240	55	41	160	50	210	787	317	93	2518	4504	1950	1040	253	477	634	3885	2843	3685	2598	681	18	23	39	34	57
Rv0973c.accA2	8446	283	7779	7810	9219	7331	3301	5952	5677	6429	4758	4659	3333	4216	4494	4373	3664	6951	7026	7237	7154	7066	11857	5737	12444	8327	6763
