Gene	Day0_1	Day0_2	Pre-treat_1	Pre-treat_2	Pre-treat_3	Pre-treat_4	Doxy_1	Doxy_2	Doxy_3	Doxy_4	Nodrug_1	Nodrug_2	Nodrug_3	INH_1	INH_2	INH_3	INH_4	RIF_1	RIF_2	RIF_3	RIF_4	PZA_1	PZA_2	HRZE_1	HRZE_2	HRZE_3	HRZE_4
Rv2195.qcrA	354	123	603	564	1209	804	1064	4839	1739	1987	7974	11784	4567	1334	1506	845	720	3268	2741	2900	2368	12082	11307	142	288	149	330
Rv2196.qcrB	90	97	150	189	345	219	1199	4073	273	594	9715	5229	2645	385	184	294	195	968	1134	1363	824	2090	2034	128	107	139	133
Rv2198.mmpS3	3741	507	1890	3134	4041	2641	756	534	1923	2474	1344	1234	1417	2347	2418	2252	1465	1895	2620	2524	2759	6362	5972	1600	2473	2004	2795
Rv2200c.Ptb21-ctaC			1	1	3			1		1	1	1															
Rv2201.asnB	1130	3	903	1384	1565	1279	224	278	455	449	2413	1576	2610	1890	2538	2945	2042	9738	10051	8898	8690	1568	1389	102	309	93	451
Rv2202c.AdoK	361	17	139	416	86	404	268	142	430	494	3287	4190	3405	4634	4505	3746	3016	7953	9737	7914	8014	785	428	22	46	44	820
Rv2211c.gcvT	8307	124	6920	7361	6624	9244	2953	2017	6846	7769	4771	5018	3590	5656	5994	4696	6203	9045	8765	10084	10009	12613	15529	3573	6814	4997	8857
Rv2217.lipB	1347	40	2167	1853	1624	1622	467	244	968	1650	1558	1045	979	1520	3489	1288	977	1539	2666	1850	2160	2496	4956	779	1997	1382	951
Rv2218.lipA	620	8	613	1117	578	1484	534	269	1001	1564	3486	5351	4172	4935	4628	4343	2351	6036	9461	7107	8616	7526	13755	22	28	39	633
Rv2225.panB	14564	2985	12482	12747	11524	13314	3873	3945	5715	6905	1535	1213	4827	7173	12679	8033	8683	8627	9059	4915	7471	12091	1483	5339	8627	10457	5733
Rv2228c.Rv2228c	1554	96	664	985	642	726	1027	782	1198	1296	5518	5250	5852	6821	8121	3149	4664	14201	11460	11242	13358	2016	913	35	100	114	791
Rv2235.Rv2235	1955	141	2927	2911	4010	4256	1624	2014	4616	5206	4618	4656	4780	2875	3304	2425	2361	6658	6829	6408	6650	17609	42003	869	1517	1088	2246
Rv2241.aceE	3653	112	4041	3352	3606	2249	919	958	2205	2583	6016	5568	3855	4039	3397	2187	2176	8103	10779	7873	9104	4965	6234	1507	2007	1957	3449
Rv2242.Rv2242		2		3		10	2	7	1	1	1	1			1	26	1		1		1						4
Rv2243.fabD	3857	69	2440	3143	2742	3706	565	389	1913	2457	2259	2669	2514	2614	3475	4722	2043	4667	3630	2911	4184	11560	1335	1789	2277	1292	2172
Rv2244.acpM	571		879	452	669	503	35	39	185	399	976	1741	863	781	1697	134	566	529	282	757	530	580	5585	83	128	71	169
RV2245.kasA	2441	153	872	1087	746	1075	121	141	218	353	267	541	735	932	1145	847	787	1424	1031	760	1060	1092	1029	148	179	329	529
Rv2246.kasB	308	31	667	1307	898	1021	169	36	462	286	302	207	264	268	460	34	287	482	284	317	317	423	1598	320	1335	215	305
Rv2339.mmpL9	4959	323	7288	8292	7269	8100	2615	1974	6465	6863	3954	3226	3351	4403	5059	3105	2930	7954	8506	7761	7646	6659	9981	4709	11741	7861	6792
Rv2343c.dnaG		3		2	2	5	15	5	1	1	4	6	7							1	2	1	3			1	10
Rv2399c.cysT	15020	2002	23486	21281	26751	16864	8718	9588	5885	5440	1721	1405	5118	4689	6037	2902	4069	5388	3383	2936	3749	10430	3870	3725	6123	6767	5379
Rv2413c.Rv2413c	207	14	76	130	121	100	473	441	609	513	1003	786	1362	1882	2037	771	1214	3058	4464	3080	3369	3771	3753	10	31	10	106
Rv2439c.proB			1								1	2		1													2
Rv2440c.obgE	87862	207658	69334	84414	75551	74905	449328	546281	426724	397321	249841	237874	297919	184363	81878	141915	135194	82904	112206	93606	143614	122620	108698	113833	160379	137640	99391
Rv2441c.rpmA	5886	140	7057	8313	8705	8780	2188	2735	8411	7245	5195	4104	3473	5356	5499	6347	5042	7090	5446	6419	10784	14087	16663	5154	10039	6378	6688
Rv2442c.rplU	5291	171	9722	9513	8977	8738	3407	1915	6407	7069	2708	3453	3398	2862	7134	6368	4952	7414	11046	8100	8356	11456	24599	4855	13188	8908	5575
Rv2444c.rne	10		76	183	72	10	18		85	7	15	34	28	16	379			52	171	12	6				368		55
Rv2448c.valS	83	66	15	11	6	12	33	46	44	31	619	1558	699	722	1593	44	93	12409	10664	8455	8352	22	11				15
Rv2454c.Rv2454c	493	29	716	1060	476	915	134	120	282	217	1535	2636	3261	1482	2070	960	553	9724	6678	8052	7800	313	215	73	90	118	506
Rv2455c.Rv2455c	4551	189	18285	16074	24101	24290	282	322	1557	1680	7670	8179	8767	1643	2121	1211	867	10937	7264	9929	8600	24716	4094	3449	8403	5154	3709
Rv2457c.clpX	355		197	243	275	229	29	66	42	61	54	109	150	100	597	92	54	2501	3085	2978	1564	16		13	18	33	13
Rv2477c.Rv2477c	27	9	191	185	234	240	250	254	102	133	3325	6130	2395	260	311	30	32	1930	1919	2597	1165	417	171	10	12	6	77
Rv2500c.fadE19	7728	397	13670	14538	13579	16442	2686	2002	7601	6453	3782	5553	5895	7346	10250	7989	5339	13887	14367	14572	11849	19137	25379	10938	16518	12947	12000
Rv2507.Rv2507	652	1416	1111	1116	1020	1237	1013	2168	923	752	369	92	141	108	99	447	168	36	12	24	32	279		41	837	490	67
Rv2509.Rv2509	9273	391	10793	11571	13312	14705	3572	4543	12111	12216	7100	6412	6853	7923	9648	8073	6987	13665	15256	14231	13901	21448	17127	8180	15766	11559	8864
Rv2511.orn	8	1	17	19	3	13	1	8	6	3	10	41	44	90	183	20	29	350	328	217	220			1		1	16
Rv2524c.fas	137552	316215	128396	146633	147809	121164	465132	346888	478817	519527	327828	277569	321848	288557	175369	205583	277119	154312	192852	178937	249314	183304	123536	186499	255402	220072	163890
Rv2534c.efp	3			4	2	6	14	6	7	8	12	14	18	12	4	6	5	21	16	26	11				5	2	14
Rv2538c.aroB	7	12	9	2	6	6	19	10	9	8	6	4	5		4	46		8	2	1	10	1	1		1	2	18
Rv2540c.aroF		2	1		1	1	1	2	2		1	1	1	12	1				5	3	3	7	1		1		4
Rv2552c.aroE	27	2	43	58	30	36	33	46	51	47	1049	2182	1474	686	493	135	124	4509	4697	4263	3106	51	80	2	5	2	33
Rv2554c.Rv2554c	1	1	1	3	1	2	7	19	1		2	1	1	4		1		1	1		3	1	1			4	13
Rv2572c.aspS	22095	55108	8229	10382	15795	9184	36136	58685	33095	31015	37788	28390	26669	7383	4887	9227	7554	6114	6045	6746	10250	3538	2475	612	1054	831	1078
Rv2581c.Rv2581c	11137	459	12639	12797	12768	12808	4826	3718	10151	10941	4472	5659	5603	8909	8874	6754	7535	14593	13731	12080	12662	25805	12932	10996	16178	14847	11192
Rv2586c.secF	32		108	208	165	312	1	3	5	4	7		19	37	358	8	31	318	329	331	156	62	422	42	235	104	97
Rv2587c.secD	2204	10	3330	3470	3881	3510	579	472	1169	1550	1241	1814	1116	2721	3739	2446	2458	3337	3621	4450	3538	7950	3280	3822	5456	1960	3920
Rv2610c.pimA	26288	931	2091	2281	2720	2092	1582	2915	2201	2691	2190	1542	5009	4707	9445	7113	4352	5653	4849	4121	4544	5030	1963	130	391	609	1550
Rv2673.aftC	22852	2697	18624	16521	18091	15369	7868	12043	12409	15096	2778	1518	6920	8266	9235	6869	6441	7149	6517	4606	7017	12004	9305	6586	9713	8520	7212
Rv2677c.hemY	1539	138	1322	2150	1116	2486	870	1247	1945	1878	3282	2692	3183	2732	3755	1744	2103	6241	6188	4958	5722	9462	8665	180	369	206	1248
Rv2678c.hemE	1		3	4		3	9	4	2	1	7		2	2	1	2					2	2					4
Rv2698.Rv2698	6030	280	8264	11963	8002	10468	2560	2362	7128	7034	3146	4224	3661	5017	5646	6805	4471	6798	7270	6051	6812	8859	12219	5067	6743	5127	7560
Rv2720.lexA	345	6	182	196	223	362	457	562	858	1652	2867	4686	4123	2947	6568	1734	2685	11269	12771	15092	11946	2023	1116	8	33	113	200
Rv2726c.dapF	87474	245128	37049	41711	35581	29610	109071	166181	109013	120186	101107	82743	86559	84157	60855	66045	74614	22086	19689	19751	31941	31991	62347	41374	66852	68533	27348
Rv2727c.miaA	1666	64	2032	2363	3969	3000	3106	7179	5195	3955	5916	5883	4603	2063	1812	1172	1712	5849	6281	7073	5452	6480	13078	444	1147	1006	1381
Rv2747.Rv2747		1	2	1		2	5	5	1	2	2	2			1		2				4	3					13
Rv2756c.hsdM	4603	366	6380	10479	8997	10368	2663	2681	6537	5576	3363	5225	4336	4519	5180	2780	3101	7946	7492	5914	8306	13112	17570	6359	6000	6238	5401
Rv2764c.thyA	6	1	23	12	164	20	7	11	16	6	26	44	35	31	45	23	22	110	89	108	67	10	17	1	2		8
Rv2773c.dapB		6	9	2	4	7	4	11	4	1	1			1	2						1		1				4
Rv2783c.gpsI			2	3		6	1	8	2	3	2	5		1	1	2					2					1	8
Rv2838c.rbfA			3	3	2	2	1	10	4	6	3	5	4	1	3	3	2	4		1	2	2	1		1	2	10
Rv2839c.infB			1		1	1	3	7				6	1						3	1							3
Rv2841c.nusA	6731	365	8699	11275	9298	10155	3607	3896	7540	9628	3415	4107	4342	7452	7005	6012	6318	8568	9665	7765	9207	16218	8112	8815	12305	7049	8549
Rv2845c.proS	36	14	5	4	8	8	10	4	5	5	55	258	121	177	310	58	61	4633	3710	1734	1869	81	4				4
Rv2861c.mapB	1144	25	1677	1595	1958	1416	345	356	957	646	668	872	661	483	288	693	976	798	742	642	802	429		1148	2657	1789	729
Rv2870c.dxr			1	1			3	5				1			1												6
Rv2903c.lepB	1406	125	1338	1044	1488	1192	249	1107	355	654	521	610	537	401	676	518	208	839	1022	899	1080	1992	99	985	939	903	716
Rv2906c.trmD	1				2	4	9	7	2	1	7	7	5	3	3	1	1	4	1		6		1			1	10
Rv2925c.rnc		2	3	4	8	16	1	22	4	2	2	2	2	1		4		1	2	1							
Rv2927c.Rv2927c	347	5	1340	862	1536	988	184	98	514	925	242	632	497	782	717	427	519	930	737	1632	1032	724	992	356	995	922	610
Rv2971.Rv2971	53		180	259	164	280			4	1	132	29	34	22	538	7	39	106	89	97	50	8	4	34	13	107	129
Rv2980.Rv2980	8647	472	10561	10475	11290	12572	4424	2935	9671	10643	6230	6850	4870	6835	6176	7219	7454	8536	12008	8157	12185	21079	7919	9316	19198	11225	12672
Rv2984.ppk1	4	4	1	9		3	8	7	4	5	31	38	23	47	57	6	13	540	419	532	235	1			1	1	4
Rv2987c.leuD	10167	297	6967	9110	6601	6777	204	521	581	838	149	375	506	2325	5306	2776	1977	4411	3709	4369	4085	3172	909	1458	2355	3332	4861
Rv2988c.leuC	3338	65	3460	5209	5773	5825	4348	4703	9068	10569	19156	22529	20713	19853	16941	22038	18140	33559	27253	38017	39796	49310	87121	1413	3218	2113	13787
Rv2995c.leuB	2	3		4	4	15	11	21	3	1	2	5	6	2				2	2		3				1	3	4
Rv3001c.ilvC	17901	1388	20218	24002	20912	21816	9572	10007	14283	20085	8847	10099	11909	9750	10789	10121	9508	16787	18024	15155	19717	31271	18409	14412	24954	20537	13759
Rv3003c.ilvB1	5752	166	7046	6519	6377	8110	4593	3637	8076	6303	3725	3744	4974	3639	3830	3369	4402	6231	6153	7480	8187	12756	21221	4287	12552	6411	6189
Rv3006.IppZ	23422	1387	54234	47613	84357	48515	19072	18864	29450	36011	13874	17436	21422	14131	21074	11835	13059	30110	25104	30091	36154	83183	33529	23375	36857	35092	18401
Rv3009c.gatB	1	3		4	1	1	1	5	2	2	2	3	2	2	3	2	1	1	1		2	1			1		12
Rv3011c.gatA	7658	189	12195	14562	13552	13239	3097	2348	7701	8932	4881	6322	6627	7837	8570	6728	6096	12001	12714	12226	16134	21580	23379	8870	15746	8710	9917
Rv3014c.ligA	35	5	25	33	10	39	258	295	368	390	2972	3819	3624	2345	3004	3534	1935	6736	6532	7610	6996	605	1344	5	9	18	102
Rv3025c.iscS	2	7	4	10	5	11		9	3	2	4	2		9	3	7	4	7	24	8	10	7			1	1	
Rv3028c.fixB	4	7	5		1	3	45	11	2	1	1	2	6	6	2	1		1			3	2	2		6	2	16
Rv3029c.fixA	22	94	6	4	3	13	10	14	4	1	31	32	14	3	19		1	48		76	11			1	1	1	
Rv3030.Rv3030	3267	150	3039	3761	3043	2861	1716	1020	4585	5055	2455	2536	2909	2545	2448	1864	1378	5397	3923	5125	4282	5366	3870	3536	10600	3442	4521
Rv3031.Rv3031	1421	40	3461	4706	2843	4077	536	577	1624	1962	2688	2206	2982	4010	4498	2284	2379	6059	5462	5815	6058	6105	1091	1002	1912	1691	2804
Rv3038c.Rv3038c	18934	3659	18357	19183	17621	18230	7683	22230	12324	14868	3631	2645	8134	6442	11065	7601	7468	7292	7231	5067	6071	14284	10015	5862	10145	9994	3931
Rv3039c.echA17	69	2	999	1204	885	1605	47	47	94	124	323	575	402	540	511	267	230	3151	3395	3463	2352	342	51	122	118	146	378
Rv3043c.ctaD	3002	328	4520	3490	7882	5663	7662	7289	7564	6950	10937	16049	9257	3732	4117	2601	3144	5658	8615	8818	9365	25686	14943	1614	2341	1879	1928
Rv3048c.nrdF2	2	1	1	1	1	1	8	7	4	2		4			1	5						1					9
Rv3208.Rv3208	131	4	85	5	24				1	20				29	96		64	157	150	108	25	1		6	1	163	
Rv3210c.Rv3210c	2534	44	1899	3270	1920	2598	247	39	543	607	675	1305	1116	3374	4436	2365	2026	6880	5438	5843	4337	1521	104	1100	1982	965	2338
Rv3211.rhlE	7353	351	8148	7071	8491	9212	5779	6864	12981	9795	3831	5200	4031	4439	4393	3462	1990	4825	5276	4705	6598	19718	22895	6502	7526	5564	6916
Rv3215.entC	114	20	39	61	37	80	777	12512	233	361	1559	1817	843	125	156	274	111	803	670	648	771	880	36	38	4	118	120
Rv3219.whiB1	4					2		4								5											
Rv3222c.Rv3222c	862	34	213	425	45	322	24	31	355	311	69	187	97	2558	2036	2215	1819	1681	2003	1081	2000	12		1084	1143	1039	2486
Rv3245c.mtrB	5280	156	2701	5126	4189	3490	566	1246	2885	4009	3501	4595	4674	4435	3602	4538	2280	5051	5800	4095	4657	2846	5937	1652	3884	1507	2710
Rv3247c.tmk			1			3			2				2		2			3									4
Rv3255c.manA	5882	387	8181	11621	8460	10790	5408	4111	13197	13015	7979	6914	7267	12845	11585	10308	6844	14311	12450	12174	16122	34392	4445	8558	14339	6518	13989
Rv3257c.pmmA	33	7	39	42	29	59	23	39	31	29	717	1730	1187	528	250	147	136	3817	3799	4077	2752	35	100		5	2	29
Rv3264c.manB	2107	34	1288	1451	1324	1702	2635	5469	3226	4591	13020	15447	12340	8439	5927	6151	6889	20561	18891	22930	24463	14650	7463	219	293	348	2618
Rv3267.Rv3267	1184	11	165	435	2640	431	106	85	125	868	203	153	106	279	315	50	86	133	430	268	64	1764		131	222	189	206
Rv3276c.purK			2	1						2	3	6	2				1	2									6
Rv3277.Rv3277	317	3	10	32	28	20	1			1	11	11	1	14	87	57	2	3	1	2	1						11
Rv3279c.birA	36	7	43	66	6	34	2	11	19	15	18	196	21	347	426	195	330	233	413	199	267	8	6	2	6	12	121
Rv3281.Rv3281	1		1	4	1	2	1	2	1			2	1			1	3	2	1								1
Rv3302c.glpD2	8680	3003	9949	10050	10194	10821	53913	173213	50083	48055	53539	35560	19381	20160	13889	16601	21092	15841	14294	15860	15300	18090	26702	11198	22691	18409	22085
Rv3336c.trpS	3	1	1		1	2	1	7	1		1	3	2	1			2				2	1				2	5
Rv3341.metA	3	1	3	3	1	2	5	6	79			2	1		2				1		3	1			1	1	12
Rv3356c.folD	3210	107	4066	4985	3725	3373	1675	792	2771	3145	1620	1909	2741	2657	3615	3133	2282	4074	2291	2638	2947	2795	4223	4156	3639	4508	3197
Rv3411c.GuaB2	1	1			2	1	1	3											1								
Rv3417c.groEL1	77		312	484	86	548	2	8	6	2	6	12	23	1069	2024	1531	778	1126	1350	816	884	10	75	90	89	88	1153
Rv3443c.rplM	705	21	1221	1307	1199	1375	820	2148	1828	1857	3814	3857	3243	1492	1244	1837	1353	2414	3726	3107	2706	8882	1226	328	699	415	1166
Rv3455c.truA	8879	300	10468	11890	10062	12130	3991	4039	10231	14586	5088	6982	6707	7607	10229	6627	4952	11988	11476	11591	11448	32088	11652	7124	13113	9484	8911
Rv3456c.rplQ	208	17	532	491	897	420	2	31	14	19	32	35	19	205	322	314	223	563	1024	489	421	3	10	498	270	224	213
Rv3460c.rpsM	4	3		4		3	24	7	1	2	4		3	3	1	3		1	3		5	2			2	2	14
Rv3565.aspB	8425	323	13498	12581	9571	13255	3960	2682	8382	10235	5121	4267	4247	7469	7526	9117	6997	10156	13730	10317	13676	10412	12580	8891	15534	10599	15147
Rv3580c.cysS1	3384	330	4029	2852	6320	4402	3305	5414	4315	4796	2163	3979	2587	2428	2286	2403	2307	2305	1674	2223	3766	13091	15906	1155	3894	2482	2439
Rv3582c.ispD	151	8	61	115	89	94	154	162	171	254	2641	3727	3445	2034	1399	1708	990	7436	9818	8748	7580	245	95	2	14	6	88
Rv3588c.canB			1					7			1		1														
Rv3593.IpqF	128		137	146	393	238	52	53	82	303		134	232	413		44	188	208	259	389	537			37	52	291	637
Rv3597c.lsr2			8	4	3	3					2			1	13			8	8	26	7						2
Rv3601c.panD			1		1	5	5	1	1	1		3	2		1				1		1						6
Rv3602c.panC	21501	2400	20890	23818	24602	22229	15759	22191	21351	17308	3809	3020	6897	7036	7745	7422	6843	10335	8175	5661	8745	23022	22390	7205	7681	11602	8490
Rv3603c.Rv3603c	9465	501	9316	11605	13467	12126	1789	1794	6367	8843	3207	3813	3996	5325	6496	5792	4676	7715	7142	6962	9877	9631	5277	5389	7974	6487	7369
Rv3604c.Rv3604c	107	2	137	178	102	133		13	7	9	7	14	16	253	521	164	156	767	706	462	258	2		7	8	13	27
Rv3608c.folP1	10	1	10	16	12	20	25	16	28	52	187	343	450	297	254	64	78	1134	1338	1499	1368	27	26	1	1	2	4
Rv3635.Rv3635	31946	3829	26127	28983	29597	25104	9604	25237	16833	18142	2910	2663	10288	8605	13899	9074	7867	13081	10307	7231	10430	31875	15418	7147	13613	15879	8663
Rv3644c.Rv3644c	408	5	211	448	270	336	513	1340	1857	2051	3353	3984	3473	2897	3405	989	2066	6277	6675	5985	6171	8189	10523	18	48	30	357
Rv3645.Rv3645			5	7	2	4	1	8	1	2	3	4	4	6	1	3	2	204	63	119	59						1
Rv3673c.ccsX	7		4	7	2	2			2	3	2	3	1	11	11	5	4	8	8	2	6	1		6	6	10	4
Rv3710.leuA	1829	25	2447	2957	3085	3548	990	1448	2327	2874	4876	4381	3500	4429	8126	4345	3066	7352	9226	8025	10351	9158	6267	1173	2272	1472	3415
Rv3719.Rv3719	2337	110	3487	3614	3748	3101	1632	1338	3694	4095	1503	1655	1759	1764	3869	2753	3138	4519	4682	3255	4959	2521	2207	3226	2894	2278	4571
Rv3722c.Rv3722c	5172	1313	7956	9438	13573	9389	1228	4367	3257	3959	3811	3171	2454	4471	6228	4098	3697	8620	9137	9907	15646	15257	3842	4922	9091	5814	7505
Rv3754.tyrA	9	5	10	99	21	21	44	12	7	6	44	130	109	54	41	9	13	441	463	703	349	11	5		1	1	8
Rv3790.dprE1	14357	468	11772	14903	14552	15194	2619	2579	7674	8283	4689	5021	5307	9630	18060	12165	10901	14153	14276	13317	16821	18195	16167	13477	22606	16392	14138
Rv3792.aftA	1075	34	77	62		5	1				2		4	30	87	90	1			6				10			94
Rv3793.embC	8		10	6	6	74	230		10	1		4	1	28			2	12	18	89	95	1		48			9
Rv3801c.fadD32			2	1	1		2	7	1		4	2							2								1
Rv3805c.Rv3805c	348	2	529	361	276	318		11	28	3	2	7	22	65	571	53	81	116	44	54	40	9		57	75	103	202
Rv3809c.glf	1243	10	6377	8953	5322	7091	26	8	128	120	2379	2722	1864	1542	6358	1552	754	3666	5061	4743	4000	1177	14	3345	5796	3276	6081
Rv3810.pirG	2083	223	4363	5275	3751	5211	1387	1132	3757	4261	2412	2103	1799	4040	4121	3508	3892	4149	4878	3638	4813	9914	2632	5299	4724	4063	5256
Rv3859c.gltB	62	2	260	204	87	327	8	13	4	9	365	1310	922	647	1488	159	169	10326	8765	8355	7068	40	48		3	6	39
Rv3863.Rv3863	13	1	4		3	1			1				1	1	7		1	17	6							3	1
Rv3907c.pcnA	11874	1579	14451	18701	23845	24085	14861	34090	21963	18414	17594	13466	11420	9078	10543	9968	9083	12078	12782	8807	14939	30076	43134	6865	16643	8713	7898
Rv3909.Rv3909	1101	28	1053	685	657	1007	277	574	835	1672	838	674	681	637	790	930	680	1081	1023	949	1076	830	1669	676	507	474	938
Rv3913.trxB2	12582	4086	13672	14639	14526	12853	6313	10554	10321	13469	1559	1875	7063	5591	6872	10551	6269	6807	4348	3551	5286	8141	12615	3650	4821	6723	4945
Rv3917c.parB	12		160	25	58	30		1	24	36	9	14	14	14	173	6	6	39	68	58	10	6	1	5	18	140	102
Rv3922c.Rv3922c	90	1067	90	51	407	195		157					1	99	5		214	12		11	2	1		230		82	2
